Species,Class,therm,common_name,rec,neo,mal,log_bm,log_pl,log_rec,Subclade
Leptodactylus_pentadactylus,Amphibia,ectothermic,Smoky jungle frog,28,2,0,5.12545096876427,5.78047357948163,3.3322045101752,Leptodactylidae
Leucopsar_rothschildi,Aves,endothermic,Bali mynah,52,6,5,4.51415078867324,5.34627916729444,3.95124371858143,Muscicapoidea
Lichanura_trivirgata,Reptilia,ectothermic,Rosy boa,24,4,2,7.02108396504858,5.07543660742843,3.17805383034795,Charinidae
Litocranius_walleri,Mammalia,endothermic,Southern gerenuk,53,5,2,10.5453335440266,6.23439378698256,3.97029191355212,Cetartiodactyla
Lontra_canadensis,Mammalia,endothermic,North americal river otter,42,5,3,8.9980625746715,5.81230164118217,3.73766961828337,Carnivora
Lophodytes_cucullatus,Aves,endothermic,Hooded merganser,31,0,0,6.41962026499127,4.94372964341482,3.43398720448515,Anseriformes
Lophura_edwardsi,Aves,endothermic,Superb fruit dove,110,0,0,6.99481332041593,4.72964693207448,4.70048036579242,Galliformes
Lorius_garrulus,Aves,endothermic,Chattering lory,20,0,0,4.96284462918906,5.24161426516358,2.99573227355399,Psittaciformes
Lorius_lory,Aves,endothermic,Black capped lory,22,0,0,5.17552807060699,5.25169196023955,3.09104245335832,Psittaciformes
Lycaon_pictus,Mammalia,endothermic,Cape hunting dog,58,20,13,10.0010724151167,5.54751126883266,4.06044301054642,Carnivora
Macaca_nigra,Mammalia,endothermic,Sulawesi crested macaque,25,1,0,8.76405326938487,5.47806702869867,3.2188758248682,Primates
Macroscelides_proboscideus,Mammalia,endothermic,Short-eared elephant shrew,63,4,2,3.64283551581583,5.38376084839305,4.14313472639153,Macroscelidea
Macrotus_californicus,Mammalia,endothermic,California leaf-nosed bat,23,0,0,2.45100509758982,6.18455740277217,3.13549421592915,Chiroptera
Mandrillus_sphinx,Mammalia,endothermic,Mandrill,32,8,5,9.81191487933592,5.48304550756128,3.46573590279973,Primates
Mantella_aurantiaca,Amphibia,ectothermic,Golden mantella,304,2,0,3.43398720486675,5.06318848713621,5.71702770140622,Mantellidae
Megascops_asio,Aves,endothermic,Eastern screech-owl,36,4,3,5.19290129387922,4.57996083975443,3.58351893845611,Strigiformes
Megophrys_nasuta,Amphibia,ectothermic,Asian horned frog,23,0,0,5.07517381602609,5.38509868872029,3.13549421592915,Megophryidae
Meleagris_gallopavo,Aves,endothermic,Domestic lavender turkey,71,10,8,8.66412415720778,5.5453014049938,4.26267987704132,Galliformes
Melopsittacus_undulatus,Aves,endothermic,Budgerigar,477,99,83,3.36695094211615,4.95413719391937,6.16751649088834,Psittaciformes
Micromys_minutus,Mammalia,endothermic,Harvest mouse,23,3,2,1.79175946834468,6.01634424363462,3.13549421592915,Rodentia
Microtus_agrestis,Mammalia,endothermic,Common field vole,62,0,0,3.74950407581452,5.41585716382614,4.12713438504509,Rodentia
Milvus_milvus,Aves,endothermic,Red kite,36,0,0,6.97706676750965,5.36337830828692,3.58351893845611,Accipitriformes
Momotus_momota,Aves,endothermic,Blue-crowned mot mot,24,1,1,4.74458424148025,4.80219198888654,3.17805383034795,Coraciiformes
Morelia_spilota,Reptilia,ectothermic,Diamond python,63,3,1,8.29404963934687,5.52647940860102,4.14313472639153,Pythonidae
Morelia_viridis,Reptilia,ectothermic,Green tree python,47,4,2,7.60090246031579,5.50260188995981,3.85014760171006,Pythonidae
Mus_musculus,Mammalia,endothermic,Common mouse,41,16,11,2.77881927191708,5.51070795080427,3.71357206670431,Rodentia
Muscardinus_avellanarius,Mammalia,endothermic,Common dormouse,52,2,0,3.31418600506336,5.38376084836826,3.95124371858143,Rodentia
Musophaga_violacea,Aves,endothermic,Violet plaintain eater,22,0,0,5.886104031986,3.57302356656295,3.09104245335832,Musophagiformes
Mustela_nigripes,Mammalia,endothermic,Black footed ferret,92,11,7,6.74523635014223,5.83495128078617,4.52178857704904,Carnivora
Mustela_putorius,Mammalia,endothermic,Ferret,105,66,43,6.81936112800936,5.8376679112765,4.65396035015752,Carnivora
Naja_annulifera,Reptilia,ectothermic,Egyptian snouted cobra,29,0,0,7.66387725769324,5.11589848246454,3.36729582998647,Elapidae
Nanger_dama,Mammalia,endothermic,Addra gazelle,50,8,2,11.1982078696625,6.24782887738192,3.91202300542815,Cetartiodactyla
Neophema_splendida,Aves,endothermic,Neophema splendida,33,1,1,3.6532522772266,4.62880000122987,3.49650756146648,Psittaciformes
Notophthalmus_perstriatus,Amphibia,ectothermic,Striped newt,30,0,0,4.65396034999648,4.87129734872929,3.40119738166216,Salamandridae
Numida_meleagris,Aves,endothermic,Guinea fowl,54,9,6,7.16935001650245,4.53737024772577,3.98898404656427,Galliformes
